year,month,day,mean,median,min,max,count
2010,3,10,12.166666666666666,12.25,11.0,13.2,6
2010,3,11,9.762500000000001,10.05,7.7,11.4,24
2010,3,12,11.133333333333333,11.7,5.7,16.2,24
2010,3,13,12.779166666666667,14.399999999999999,6.2,19.0,24
2010,3,14,15.799999999999999,15.45,10.0,22.7,24
2010,3,15,17.345833333333335,16.799999999999997,11.3,25.9,24
2010,3,16,18.720833333333335,18.200000000000003,10.7,29.9,24
2010,3,17,18.720833333333335,16.75,10.4,28.1,24
2010,3,18,17.758333333333333,15.600000000000001,10.6,28.1,24
2010,3,19,14.095833333333333,14.35,11.2,16.8,24
2010,3,20,15.950000000000001,15.85,12.8,20.7,24
2010,3,21,17.1125,16.700000000000003,14.1,21.4,24
2010,3,22,17.120833333333334,16.200000000000003,14.3,21.7,24
2010,3,23,11.9,11.850000000000001,8.4,15.2,24
2010,3,24,11.745833333333332,11.05,9.9,16.4,24
2010,3,25,11.487499999999999,10.5,7.6,18.1,24
2010,3,26,11.754166666666668,10.25,8.0,20.0,24
2010,3,27,12.333333333333334,12.05,6.1,18.7,24
2010,3,28,13.454166666666666,12.65,7.5,21.4,24
2010,3,29,13.383333333333333,12.55,7.7,19.1,24
2010,3,30,15.391666666666666,15.05,10.9,21.9,24
2010,3,31,13.620833333333332,13.4,10.1,16.3,24
2010,4,1,16.483333333333334,16.5,9.4,24.5,24
2010,4,2,17.837500000000002,18.1,10.8,27.6,24
2010,4,3,18.900000000000002,18.35,13.3,25.5,24
2010,4,4,18.974999999999998,18.05,13.3,26.1,24
2010,4,5,16.670833333333334,16.2,12.6,22.6,24
2010,4,6,16.620833333333334,15.75,13.6,20.2,24
2010,4,7,14.283333333333333,15.05,9.3,19.2,24
2010,4,8,14.695833333333333,15.2,7.4,25.4,24
2010,4,9,23.599999999999998,24.05,11.2,25.9,24
2010,4,10,14.924999999999999,13.850000000000001,9.6,21.7,24
2010,4,11,14.779166666666667,15.3,7.1,22.1,24
2010,4,12,12.195833333333333,12.75,9.3,14.9,24
2010,4,13,13.129166666666668,12.45,9.3,16.8,24
2010,4,14,15.424999999999999,14.8,9.9,22.6,24
2010,4,15,14.795833333333334,14.6,9.4,20.4,24
2010,4,16,13.929166666666667,13.6,11.7,18.2,24
2010,4,17,15.595833333333333,16.15,11.9,20.1,24
2010,4,18,15.391666666666666,15.5,13.3,18.2,24
2010,4,19,13.408333333333333,13.0,9.5,20.1,24
2010,4,20,16.150000000000002,15.7,8.9,26.9,24
2010,4,21,18.966666666666665,19.5,10.2,27.8,24
2010,4,22,21.216666666666665,20.049999999999997,12.6,32.9,24
2010,4,23,21.104166666666668,19.35,13.4,29.9,24
2010,4,24,20.1375,19.2,11.4,28.6,24
2010,4,25,15.545833333333334,14.8,11.5,20.8,24
2010,4,26,16.525000000000002,16.450000000000003,13.5,20.5,24
2010,4,27,20.816666666666666,20.15,14.5,29.6,24
2010,4,28,21.029166666666665,19.4,14.3,29.8,24
2010,4,29,18.962500000000002,18.049999999999997,12.0,26.4,24
2010,4,30,17.920833333333334,18.1,14.6,22.5,24
2010,5,1,19.816666666666666,18.5,14.8,27.4,24
2010,5,2,19.575,19.25,13.5,25.5,24
2010,5,3,21.129166666666666,19.4,15.2,31.5,24
2010,5,4,17.908333333333335,17.799999999999997,14.7,21.1,24
2010,5,5,15.991666666666667,16.299999999999997,11.2,20.0,24
2010,5,6,14.241666666666667,13.350000000000001,11.6,20.4,24
2010,5,7,15.254166666666668,14.350000000000001,11.9,20.4,24
2010,5,8,14.208333333333334,14.05,7.3,20.4,24
2010,5,9,15.158333333333333,14.9,11.6,20.5,24
2010,5,10,17.6375,17.1,13.0,26.2,24
2010,5,11,18.841666666666665,19.15,10.6,27.9,24
2010,5,12,16.945833333333333,16.5,13.3,23.0,24
2010,5,13,17.716666666666665,17.299999999999997,14.9,20.9,24
2010,5,14,22.104166666666668,21.3,15.7,29.1,24
2010,5,15,20.945833333333333,20.299999999999997,13.8,28.8,24
2010,5,16,22.28333333333333,21.6,13.1,32.8,24
2010,5,17,20.95,21.0,15.2,26.6,24
2010,5,18,23.84166666666667,21.8,16.8,32.4,24
2010,5,19,22.662499999999998,19.85,15.8,32.2,24
2010,5,20,23.229166666666668,21.9,15.0,33.6,24
2010,5,21,23.316666666666666,21.15,14.5,33.5,24
2010,5,22,21.962500000000002,21.2,16.2,29.1,24
2010,5,23,22.579166666666666,21.35,17.0,28.5,24
2010,5,24,19.783333333333335,18.450000000000003,15.3,26.3,24
2010,5,25,22.704166666666666,24.6,10.8,33.1,24
2010,5,26,26.379166666666666,25.25,20.2,33.4,24
2010,5,27,22.97083333333333,21.4,14.9,33.2,24
2010,5,28,21.52916666666667,20.0,15.3,30.2,24
2010,5,29,20.01666666666667,20.0,17.2,23.8,24
2010,5,30,23.6875,23.0,16.6,33.9,24
2010,5,31,22.72083333333333,20.6,16.1,32.4,24
2010,6,1,20.037499999999998,19.8,15.5,25.8,24
2010,6,2,24.004166666666666,22.700000000000003,18.0,33.3,24
2010,6,3,23.329166666666666,23.25,16.4,30.1,24
2010,6,4,23.683333333333334,23.5,19.6,28.4,24
2010,6,5,23.816666666666666,22.1,18.8,31.5,24
2010,6,6,21.929166666666664,22.299999999999997,16.2,27.5,24
2010,6,7,25.320833333333336,24.3,16.0,34.4,24
2010,6,8,26.979166666666668,25.4,17.5,36.9,24
2010,6,9,29.1875,28.1,20.5,39.9,24
2010,6,10,28.587500000000002,27.05,19.5,39.6,24
2010,6,11,28.004166666666666,27.299999999999997,17.9,38.9,24
2010,6,12,27.016666666666666,26.200000000000003,18.4,36.9,24
2010,6,13,22.025000000000002,21.3,18.9,25.6,24
2010,6,14,21.833333333333332,21.55,17.9,26.4,24
2010,6,15,26.583333333333332,24.95,19.3,36.0,24
2010,6,16,25.900000000000002,24.7,19.6,34.3,24
2010,6,17,25.34166666666667,25.35,17.8,32.1,24
2010,6,18,28.391666666666666,27.2,20.8,38.7,24
2010,6,19,25.09166666666667,24.15,20.2,33.6,24
2010,6,20,24.224999999999998,24.4,22.6,25.8,24
2010,6,21,24.75,24.3,16.9,29.9,24
2010,6,22,25.3875,25.4,16.6,34.4,24
2010,6,23,27.34583333333333,27.5,19.5,36.5,24
2010,6,24,27.645833333333332,28.05,20.1,37.9,24
2010,6,25,27.670833333333334,25.75,20.2,36.2,24
2010,6,26,28.316666666666666,27.15,18.0,40.6,24
2010,6,27,31.241666666666664,30.25,21.8,43.0,24
2010,6,28,30.895833333333332,29.6,22.3,42.0,24
2010,6,29,30.820833333333336,29.2,23.5,39.5,24
2010,6,30,31.570833333333336,29.75,23.9,41.7,24
2010,7,1,30.09583333333333,29.6,23.7,40.4,24
2010,7,2,30.104166666666668,29.15,24.0,38.8,24
2010,7,3,28.9375,27.8,19.4,38.7,24
2010,7,4,29.204166666666666,26.65,19.9,41.7,24
2010,7,5,29.416666666666668,27.85,19.3,42.5,24
2010,7,6,30.275000000000002,28.95,20.7,42.0,24
2010,7,7,32.28333333333333,31.4,23.2,45.2,24
2010,7,8,32.55833333333333,29.9,24.9,43.1,24
2010,7,9,28.78333333333333,28.0,23.0,35.6,24
2010,7,10,26.4875,25.35,20.6,35.0,24
2010,7,11,25.9875,25.5,19.4,35.0,24
2010,7,12,22.712500000000002,22.299999999999997,17.2,29.4,24
2010,7,13,24.695833333333336,26.5,15.2,33.6,24
2010,7,14,27.041666666666668,28.0,18.0,36.4,24
2010,7,15,28.020833333333332,25.85,20.0,39.0,24
2010,7,16,28.587500000000002,27.75,19.3,39.2,24
2010,7,17,29.837500000000002,28.05,20.1,41.9,24
2010,7,18,30.483333333333334,29.3,19.6,42.2,24
2010,7,19,31.099999999999998,30.0,20.6,42.2,24
2010,7,20,32.65,31.55,22.7,43.2,24
2010,7,21,32.80833333333333,29.75,23.1,45.3,24
2010,7,22,33.074999999999996,31.25,22.6,46.1,24
2010,7,23,32.2125,29.7,22.4,42.7,24
2010,7,24,29.791666666666668,27.1,23.9,38.6,24
2010,7,25,26.4875,26.299999999999997,22.5,32.1,24
2010,7,26,29.52916666666667,28.4,24.1,37.2,24
2010,7,27,28.316666666666666,28.1,23.6,34.2,24
2010,7,28,28.558333333333334,28.549999999999997,19.4,39.0,24
2010,7,29,29.40833333333333,29.35,21.8,40.4,24
2010,7,30,30.066666666666666,28.2,22.1,40.1,24
2010,7,31,30.575,29.35,21.2,39.9,24
2010,8,1,30.15416666666667,29.3,21.9,39.8,24
2010,8,2,30.724999999999998,28.7,23.1,38.8,24
2010,8,3,30.416666666666668,29.3,24.3,39.5,24
2010,8,4,30.599999999999998,28.450000000000003,25.0,40.1,24
2010,8,5,26.087500000000002,24.299999999999997,19.8,39.0,24
2010,8,6,26.2375,26.5,20.8,34.9,24
2010,8,7,29.3625,28.05,21.5,39.0,24
2010,8,8,28.191666666666666,27.75,22.7,36.8,24
2010,8,9,27.133333333333336,26.15,22.0,35.4,24
2010,8,10,31.4875,31.15,21.9,40.6,24
2010,8,11,31.154166666666665,29.5,25.4,39.6,24
2010,8,12,30.575,29.5,25.1,38.2,24
2010,8,13,30.008333333333336,28.75,24.2,37.5,24
2010,8,14,29.704166666666666,27.55,23.8,40.5,24
2010,8,15,29.462500000000002,30.0,22.0,38.9,24
2010,8,16,30.179166666666664,28.25,21.9,40.4,24
2010,8,17,30.224999999999998,29.75,22.5,39.2,24
2010,8,18,29.84583333333333,29.8,21.6,38.6,24
2010,8,19,32.208333333333336,31.1,25.8,41.6,24
2010,8,20,30.45,28.4,25.4,36.9,24
2010,8,21,26.366666666666664,25.8,22.6,32.1,24
2010,8,22,27.083333333333332,25.95,18.8,38.0,24
2010,8,23,27.808333333333334,27.450000000000003,19.8,38.4,24
2010,8,24,28.1875,27.45,20.0,38.7,24
2010,8,25,28.287499999999998,27.85,22.3,37.8,24
2010,8,26,23.974999999999998,23.5,22.3,25.7,24
2010,8,27,24.066666666666666,23.950000000000003,22.8,26.0,24
2010,8,28,26.995833333333334,26.0,18.1,35.9,24
2010,8,29,27.270833333333332,25.4,19.7,37.6,24
2010,8,30,26.6375,25.95,21.9,33.1,24
2010,8,31,27.370833333333334,26.4,21.4,34.4,24
2010,9,1,26.900000000000002,27.65,19.9,35.9,24
2010,9,2,29.15833333333333,29.5,20.9,39.5,24
2010,9,3,29.991666666666664,29.35,20.9,40.9,24
2010,9,4,30.295833333333334,29.85,21.4,41.1,24
2010,9,5,29.116666666666664,28.05,25.2,34.5,24
2010,9,6,26.516666666666666,25.799999999999997,22.3,31.6,24
2010,9,7,27.587500000000002,25.8,20.4,33.6,24
2010,9,8,25.400000000000002,24.9,22.6,34.3,24
2010,9,9,28.337500000000002,28.4,19.9,39.9,24
2010,9,10,27.2625,26.0,19.9,34.3,24
2010,9,11,27.041666666666668,26.1,20.3,37.3,24
2010,9,12,24.90833333333333,24.65,20.1,30.7,24
2010,9,13,26.037499999999998,25.35,18.4,34.8,24
2010,9,14,24.866666666666664,23.8,18.7,33.5,24
2010,9,15,22.795833333333334,23.2,19.4,27.9,24
2010,9,16,21.458333333333332,22.0,17.4,24.8,24
2010,9,17,21.666666666666668,21.65,18.6,24.4,24
2010,9,18,24.245833333333334,23.95,18.9,29.1,24
2010,9,19,24.55,24.5,16.6,34.9,24
2010,9,20,25.620833333333334,24.6,18.7,36.0,24
2010,9,21,24.608333333333334,23.65,16.9,31.5,24
2010,9,22,24.704166666666666,23.799999999999997,17.6,34.9,24
2010,9,23,25.625,24.9,20.5,33.2,24
2010,9,24,21.004166666666666,22.0,13.7,26.6,24
2010,9,25,17.908333333333335,18.0,14.8,22.5,24
2010,9,26,18.258333333333333,18.200000000000003,12.1,23.8,24
2010,9,27,18.900000000000002,18.6,13.3,24.2,24
2010,9,28,19.7625,19.75,11.2,29.7,24
2010,9,29,20.816666666666666,21.200000000000003,14.6,26.9,24
2010,9,30,20.920833333333334,20.700000000000003,16.8,26.4,24
2010,10,1,21.912499999999998,21.6,18.6,26.6,24
2010,10,2,23.083333333333332,22.5,19.2,27.2,24
2010,10,3,23.079166666666666,22.1,18.9,28.5,24
2010,10,4,22.104166666666668,21.3,16.4,30.6,24
2010,10,5,22.900000000000002,22.15,16.5,31.4,24
2010,10,6,22.3625,22.15,16.5,28.5,24
2010,10,7,22.84583333333333,22.049999999999997,19.7,28.8,24
2010,10,8,23.15416666666667,23.3,17.6,29.8,24
2010,10,9,24.77916666666667,25.3,19.6,30.4,24
2010,10,10,21.912499999999998,21.45,18.0,26.2,24
2010,10,11,19.708333333333332,19.85,17.5,22.5,24
2010,10,12,17.724999999999998,17.700000000000003,14.2,21.0,24
2010,10,13,15.258333333333333,15.1,13.3,18.1,24
2010,10,14,17.558333333333334,16.35,14.0,22.1,24
2010,10,15,18.191666666666666,18.15,13.5,25.4,24
2010,10,16,17.1875,16.3,13.8,23.1,24
2010,10,17,17.962500000000002,17.4,13.6,23.3,24
2010,10,18,17.204166666666666,16.9,12.7,22.4,24
2010,10,19,18.087500000000002,17.9,13.1,22.9,24
2010,10,20,21.866666666666664,21.45,17.6,26.5,24
2010,10,21,23.566666666666666,23.2,20.7,27.5,24
2010,10,22,22.491666666666664,22.4,19.0,27.1,24
2010,10,23,21.558333333333334,20.85,16.4,28.4,24
2010,10,24,21.425,20.85,16.3,27.6,24
2010,10,25,18.579166666666666,18.200000000000003,15.0,22.0,24
2010,10,26,19.183333333333334,19.25,14.1,23.4,24
2010,10,27,18.479166666666668,18.5,15.5,22.0,24
2010,10,28,18.383333333333333,19.25,14.4,21.8,24
2010,10,29,19.3625,19.1,16.8,24.9,24
2010,10,30,19.466666666666665,19.5,15.6,24.1,24
2010,10,31,20.64166666666667,20.65,17.2,23.8,24
2010,11,1,21.191666666666666,20.6,17.9,25.5,24
2010,11,2,20.662499999999998,20.3,16.0,26.3,24
2010,11,3,21.233333333333334,20.65,15.4,27.4,24
2010,11,4,20.425,19.799999999999997,14.9,28.2,24
2010,11,5,19.245833333333334,18.4,15.6,24.9,24
2010,11,6,18.279166666666665,18.8,14.1,22.4,24
2010,11,7,15.891666666666666,16.25,9.7,19.1,24
2010,11,8,11.233333333333334,11.25,7.7,13.8,24
2010,11,9,8.070833333333333,7.55,3.0,13.7,24
2010,11,10,8.554166666666667,8.2,5.9,12.1,24
2010,11,11,10.733333333333334,11.350000000000001,7.4,13.7,24
2010,11,12,15.191666666666668,15.2,12.3,18.4,24
2010,11,13,17.083333333333332,16.4,12.5,22.6,24
2010,11,14,10.433333333333334,10.5,7.1,12.9,24
2010,11,15,11.908333333333333,11.75,9.8,14.3,24
2010,11,16,13.225,11.9,9.5,19.0,24
2010,11,17,10.808333333333332,10.75,5.4,17.4,24
2010,11,18,12.783333333333333,14.0,5.8,19.7,24
2010,11,19,15.816666666666668,15.7,12.0,18.7,24
2010,11,20,10.766666666666666,10.649999999999999,6.0,15.7,24
2010,11,21,7.654166666666666,6.449999999999999,1.3,15.8,24
2010,11,22,6.420833333333333,7.05,2.5,9.0,24
2010,11,23,10.620833333333334,10.1,7.5,14.2,24
2010,11,24,11.104166666666666,10.45,7.4,15.9,24
2010,11,25,10.0375,10.05,3.9,17.6,24
2010,11,26,12.4375,13.05,8.2,16.7,24
2010,11,27,13.791666666666666,13.85,10.8,16.7,24
2010,11,28,10.5625,10.350000000000001,8.1,13.7,24
2010,11,29,13.741666666666667,15.15,8.5,19.2,24
2010,11,30,12.941666666666668,13.2,9.7,16.1,24
2010,12,1,10.870833333333332,11.05,8.1,13.8,24
2010,12,2,14.129166666666668,14.5,11.2,19.8,24
2010,12,3,14.979166666666666,14.75,12.7,19.2,24
2010,12,4,12.329166666666666,12.3,10.7,14.8,24
2010,12,5,12.370833333333332,12.3,11.5,13.9,24
2010,12,6,15.004166666666668,14.8,11.1,19.1,24
2010,12,7,15.045833333333334,14.65,11.5,20.2,24
2010,12,8,14.254166666666668,14.25,11.0,17.5,24
2010,12,9,14.525,14.7,12.1,15.9,24
2010,12,10,14.204166666666666,13.55,11.3,19.0,24
2010,12,11,13.366666666666667,12.65,7.9,19.0,24
2010,12,12,10.029166666666667,9.05,4.2,18.1,24
2010,12,13,10.020833333333334,9.8,5.3,16.8,24
2010,12,14,13.9125,11.7,6.0,25.4,24
2010,12,15,23.983333333333334,23.85,22.5,25.5,24
2010,12,16,24.266666666666666,24.3,22.7,25.8,24
2010,12,17,22.420833333333334,24.0,12.5,25.5,24
2010,12,18,12.237499999999999,12.55,8.9,17.1,24
2010,12,19,5.2124999999999995,5.4,2.3,7.7,24
2010,12,20,8.658333333333333,8.850000000000001,6.8,9.9,24
2010,12,21,6.574999999999999,6.35,4.1,9.2,24
2010,12,22,6.541666666666667,5.6,4.2,10.2,24
2010,12,23,5.683333333333334,5.95,1.3,11.6,24
2010,12,24,10.758333333333333,7.8,4.3,25.5,24
2010,12,25,10.1625,10.149999999999999,8.7,11.9,24
2010,12,26,12.133333333333333,11.850000000000001,10.4,14.9,24
2010,12,27,12.424999999999999,12.4,10.5,14.4,24
2010,12,28,11.195833333333333,10.649999999999999,8.4,15.0,24
2010,12,29,10.362499999999999,10.1,8.1,12.6,24
2010,12,30,9.745833333333334,9.25,7.5,13.2,24
2010,12,31,9.308333333333334,9.1,6.4,12.4,24
2011,1,1,6.843999999999999,6.0,2.5,12.9,25
2011,1,2,8.625,7.0,2.1,22.9,24
2011,1,3,23.3125,23.0,22.3,25.4,24
2011,1,4,23.758333333333336,23.9,22.2,25.1,24
2011,1,5,11.604166666666666,12.649999999999999,7.3,22.8,24
2011,1,6,13.279166666666667,12.75,10.2,17.0,24
2011,1,7,8.466666666666667,7.7,5.4,13.0,24
2011,1,8,10.266666666666667,11.65,5.1,13.9,24
2011,1,9,14.612499999999999,14.7,12.3,17.4,24
2011,1,10,13.133333333333333,13.149999999999999,11.7,14.3,24
2011,1,11,12.729166666666666,12.45,11.5,14.2,24
2011,1,12,11.991666666666667,11.649999999999999,8.4,16.3,24
2011,1,13,10.012500000000001,9.399999999999999,6.0,15.1,24
2011,1,14,8.129166666666666,7.9,4.1,12.6,24
2011,1,15,6.408333333333334,5.8,2.3,12.2,24
2011,1,16,7.429166666666667,7.05,3.8,12.0,24
2011,1,17,6.7,6.0,1.8,13.0,24
2011,1,18,5.254166666666666,4.9,3.0,11.8,24
2011,1,19,7.883333333333333,8.45,4.7,10.5,24
2011,1,20,10.045833333333333,8.6,6.8,15.6,24
2011,1,21,9.033333333333333,8.55,5.6,14.1,24
2011,1,22,10.058333333333334,8.649999999999999,5.2,16.2,24
2011,1,23,5.7749999999999995,5.6,2.5,8.9,24
2011,1,24,7.691666666666666,7.05,3.9,11.8,24
2011,1,25,4.466666666666667,4.25,3.3,6.1,24
2011,1,26,4.154166666666667,4.15,2.8,5.6,24
2011,1,27,5.2375,4.7,3.8,7.4,24
2011,1,28,9.820833333333333,4.15,3.1,25.0,24
2011,1,29,4.270833333333333,2.9,1.1,22.9,24
2011,1,30,4.833333333333333,4.449999999999999,2.8,8.0,24
2011,1,31,7.25,5.8,2.9,14.7,24
2011,2,1,6.533333333333334,6.2,1.7,14.0,24
2011,2,2,7.608333333333333,6.3,2.6,14.1,24
2011,2,3,7.258333333333333,6.4,1.2,16.5,24
2011,2,4,7.575,6.7,1.8,14.8,24
2011,2,5,5.533333333333334,5.65,0.8,10.1,24
2011,2,6,5.3125,5.3,0.3,11.2,24
2011,2,7,7.279166666666666,7.05,2.9,13.2,24
2011,2,8,13.045833333333334,11.399999999999999,5.7,24.3,24
2011,2,9,23.95,24.0,22.4,25.3,24
2011,2,10,23.704166666666666,23.4,22.3,25.5,24
2011,2,11,21.833333333333332,23.8,6.8,25.3,24
2011,2,12,8.291666666666666,9.8,4.3,11.6,24
2011,2,13,12.716666666666667,12.0,7.8,20.2,24
2011,2,14,10.4,10.2,6.4,13.9,24
2011,2,15,8.970833333333333,8.8,5.8,13.2,24
2011,2,16,6.416666666666667,6.45,3.2,10.0,24
2011,2,17,7.4875,7.35,5.3,9.9,24
2011,2,18,8.379166666666666,7.75,5.1,12.4,24
2011,2,19,6.683333333333334,5.75,0.6,13.9,24
2011,2,20,8.200000000000001,8.0,7.0,9.9,24
2011,2,21,5.741666666666667,5.9,3.4,7.8,24
2011,2,22,5.283333333333333,4.550000000000001,2.3,11.2,24
2011,2,23,4.358333333333333,4.35,2.9,5.7,24
2011,2,24,5.295833333333333,5.300000000000001,3.0,8.1,24
2011,2,25,7.820833333333333,6.75,4.8,13.1,24
2011,2,26,6.545833333333333,6.65,2.4,10.4,24
2011,2,27,5.979166666666667,5.4,1.3,12.0,24
2011,2,28,2.870833333333333,3.15,1.0,4.1,24
2011,3,1,1.4333333333333333,0.9500000000000001,-0.6,4.2,24
2011,3,2,4.245833333333334,4.8,-1.8,11.2,24
2011,3,3,4.645833333333333,4.35,2.7,7.4,24
2011,3,4,7.1375,6.65,3.3,12.4,24
2011,3,5,8.216666666666667,6.85,3.0,14.3,24
2011,3,6,8.6625,7.65,5.6,14.2,24
2011,3,7,6.883333333333333,5.85,3.9,10.6,24
2011,3,8,7.5375000000000005,7.6,0.3,16.3,24
2011,3,9,9.295833333333333,9.2,1.9,19.1,24
2011,3,10,11.145833333333334,10.25,3.9,19.8,24
2011,3,11,11.695833333333333,11.85,3.8,25.3,24
2011,3,12,12.995833333333332,12.45,9.1,18.5,24
2011,3,13,14.245833333333332,13.25,11.6,21.1,24
2011,3,14,14.170833333333334,13.2,8.1,21.2,24
2011,3,15,15.545833333333334,14.85,9.4,24.3,24
2011,3,16,16.479166666666668,15.0,7.3,29.4,24
2011,3,17,17.391666666666666,15.65,7.7,28.2,24
2011,3,18,15.450000000000001,13.75,7.2,26.4,24
2011,3,19,14.549999999999999,13.350000000000001,11.1,22.4,24
2011,3,20,16.170833333333334,14.7,12.5,24.0,24
2011,3,21,16.366666666666667,14.65,11.3,24.3,24
2011,3,22,17.091666666666665,16.45,9.9,27.0,24
2011,3,23,18.679166666666667,17.9,13.5,26.0,24
2011,3,24,17.125,17.2,12.3,24.6,24
2011,3,25,17.554166666666667,17.8,13.3,22.4,24
2011,3,26,18.7375,17.4,15.0,25.0,24
2011,3,27,15.429166666666667,15.4,13.1,18.0,24
2011,3,28,17.691666666666666,15.350000000000001,13.1,26.4,24
2011,3,29,15.866666666666667,15.35,12.1,19.0,24
2011,3,30,17.6375,16.950000000000003,10.3,27.1,24
2011,3,31,17.583333333333332,17.4,12.0,23.9,24
2011,4,1,15.737499999999999,15.350000000000001,12.6,20.4,24
2011,4,2,15.458333333333334,14.2,10.6,22.6,24
2011,4,3,18.341666666666665,15.950000000000001,8.3,30.9,24
2011,4,4,16.973333333333333,14.2,9.1,29.1,15
